1sup,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
,2,,12:01:59,,0:08:08,0:09:27,0:12:57,,,,,,
,3,,12:03:29,,,,,,,,,,
,4,,12:05:38,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,12:11:12:115,12:20:39:604,,,,,,,,,,
,1,12:11:12,12:14:36,,,,,,,,,,
,2,,12:16:08,,,,,,,,,,
,3,,12:18:21,,,,,,,,,,
,4,,12:20:39,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,12:21:12:394,12:34:09:242,,,,,,,,,,
,1,12:21:12,12:25:30,,,,,,,,,,
,2,,12:28:19,,,,,,,,,,
,3,,12:31:34,,,,,,,,,,
,4,,12:34:09,,,,,,,,,,
,,,,,,,,,,,,,
29,29Shu,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,13:15:50:004,13:28:39:644,,,,,,,,,,
,1,13:15:50,13:18:32,,,,,,,,,,
,2,,13:21:07,,0:12:49,0:12:22,0:14:13,,,,,,
,3,,13:23:58,,,,,,,,,,
,4,,13:28:39,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,13:34:35:901,13:46:57:278,,,,,,,,,,
,1,13:34:35,13:37:51,,,,,,,,,,
,2,,13:40:17,,,,,,,,,,
,3,,13:42:58,,,,,,,,,,
,4,,13:46:57,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,13:47:32:362,14:01:45:923,,,,,,,,,,
,1,13:47:32,13:49:49,,,,,,,,,,
,2,,13:53:55,,,,,,,,,,
,3,,13:57:32,,,,,,,,,,
,4,,14:01:45,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
30,30Kar,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,15:00:44:228,15:12:12:788,,,,,,,,,,
,1,15:00:44,15:03:45,,,,,,,,,,
,2,,15:06:06,,,0:11:28,0:15:33,0:15:36,,,,,
,3,,15:09:06,,,,,,,,,,
,4,,15:12:12,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,15:12:28:265,15:28:01:461,,,,,,,,,,
,1,15:12:28,15:22:14,,,,,,,,,,
,2,,15:25:35,,,,,,,,,,
,3,,dint start 4,,,,,,,,,,
,4,,15:28:01,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,15:28:34:405,15:44:10:67,,,,,,,,,,
,1,15:28:34,15:33:54,p,,,,,,,,,
,2,,15:37:11,w,,,,,,,,,
,3,,15:39:48,p,,,,,,,,,
,4,,15:44:10,w,,,,,,,,,
